[INFO] [1785192661.121104056] [air_ground_servo_node]: Air-ground RGBD debug ready: topic=/camera/camera/rgbd expected=640x480@30.0 center=(320,240) window=10x10
[INFO] [1785192661.950744139] [air_ground_servo_node]: RGBD fps=0.00 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192664.091695521] [air_ground_servo_node]: RGBD fps=27.17 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192666.416110213] [air_ground_servo_node]: RGBD fps=42.06 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192668.417827206] [air_ground_servo_node]: RGBD fps=53.78 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192670.421946074] [air_ground_servo_node]: RGBD fps=29.91 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192672.454339986] [air_ground_servo_node]: RGBD fps=30.05 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192674.455201520] [air_ground_servo_node]: RGBD fps=30.06 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192676.490818642] [air_ground_servo_node]: RGBD fps=27.45 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192678.491998968] [air_ground_servo_node]: RGBD fps=30.10 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192680.492999044] [air_ground_servo_node]: RGBD fps=29.99 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192682.494107620] [air_ground_servo_node]: RGBD fps=30.00 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192684.496325404] [air_ground_servo_node]: RGBD fps=30.03 size=640x480 center=(320,240) depth=invalid XYZ=invalid valid=0/100
[INFO] [1785192685.481899837] [rclcpp]: signal_handler(SIGINT/SIGTERM)
